objectid,datetimeprocessed,directionDegrees,displayState,latitude,longitude,sensorBits,sensorValues,sequenceId,servicetype,servicetype_timestamp,speedKmph,vehicle_name,vehicle_number
40107,6/28/2024 13:21,270,Idle,41.613889,-87.433759,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44174,Plowing,6/28/2024 13:21,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
40208,6/28/2024 13:22,270,Idle,41.613882,-87.433812,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44175,Plowing,6/28/2024 13:21,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
40316,6/28/2024 13:22,270,Idle,41.613881,-87.433792,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44176,Plowing,6/28/2024 13:22,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
40412,6/28/2024 13:23,270,Idle,41.613883,-87.433794,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44177,Plowing,6/28/2024 13:22,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
40531,6/28/2024 13:23,270,Idle,41.613869,-87.433794,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44178,Plowing,6/28/2024 13:23,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
40638,6/28/2024 13:24,270,Idle,41.613881,-87.433773,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44179,Plowing,6/28/2024 13:23,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
40745,6/28/2024 13:24,270,Idle,41.61387,-87.433792,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44180,Plowing,6/28/2024 13:24,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
40848,6/28/2024 13:25,270,Idle,41.613845,-87.433797,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44181,Plowing,6/28/2024 13:24,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
40951,6/28/2024 13:25,270,Idle,41.613858,-87.433776,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44182,Plowing,6/28/2024 13:25,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
50037,6/28/2024 13:26,270,Idle,41.613855,-87.433788,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44183,Plowing,6/28/2024 13:25,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
50120,6/28/2024 13:26,270,Idle,41.613859,-87.43379,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44184,Plowing,6/28/2024 13:26,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
50295,6/28/2024 13:27,270,Idle,41.613872,-87.433762,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44185,Plowing,6/28/2024 13:26,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
50413,6/28/2024 13:27,270,Idle,41.613872,-87.43378,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44186,Plowing,6/28/2024 13:27,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
50519,6/28/2024 13:28,270,Idle,41.613874,-87.433796,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44187,Plowing,6/28/2024 13:27,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
50626,6/28/2024 13:28,270,Idle,41.613855,-87.433773,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44188,Plowing,6/28/2024 13:28,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
50729,6/28/2024 13:29,270,Idle,41.613865,-87.433779,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44189,Plowing,6/28/2024 13:28,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
50833,6/28/2024 13:29,270,Idle,41.613874,-87.433785,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44190,Plowing,6/28/2024 13:29,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
50939,6/28/2024 13:30,270,Idle,41.613886,-87.433774,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44191,Plowing,6/28/2024 13:29,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
51053,6/28/2024 13:30,270,Idle,41.613881,-87.433777,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44192,Plowing,6/28/2024 13:30,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
51153,6/28/2024 13:31,270,Idle,41.613866,-87.433771,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44193,Plowing,6/28/2024 13:30,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
51270,6/28/2024 13:31,270,Idle,41.613881,-87.433763,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44194,Plowing,6/28/2024 13:31,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
51378,6/28/2024 13:32,270,Idle,41.613887,-87.4338,33,"[""Sensor PTO1-ON"",""Sensor PTO2-OFF"",""Sensor PTO4-OFF""]",44195,Plowing,6/28/2024 13:31,0,130 - PUBLIC WORKS,130 - PUBLIC WORKS
